CBSA_Name,FIPS_Code,Population,Bedroom_Size,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09,2017_10,2017_11,2017_12,2018_01,2018_02,2018_03,2018_04,2018_05,2018_06,2018_07,2018_08,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_08,2019_09,2019_10,2019_11,2019_12,2020_01,2020_02,2020_03,2020_04,2020_05,2020_06,2020_07,2020_08,2020_09,2020_10,2020_11,2020_12,2021_01,2021_02
"Abilene, TX",10180,170009,_Overall, 978.00, 982.00,1016.00,1039.00,1017.00,1012.00, 992.00, 985.00, 969.00, 995.00,1002.00, 991.00, 978.00, 958.00, 981.00, 962.00, 976.00, 974.00, 989.00, 990.00, 974.00, 977.00, 980.00, 994.00, 993.00,1003.00,1018.00,1040.00,1062.00,1076.00,1087.00,1087.00,1080.00,1066.00,1055.00,1054.00,1061.00,1066.00,1104.00,1106.00,1109.00,1081.00,1087.00,1098.00,1109.00,1118.00,1113.00,1107.00,1114.00,1121.00
"Abilene, TX",10180,170009,_Studio, 717.00, 720.00, 745.00, 762.00, 746.00, 742.00, 727.00, 723.00, 711.00, 730.00, 735.00, 727.00, 718.00, 702.00, 719.00, 706.00, 716.00, 714.00, 725.00, 726.00, 715.00, 717.00, 719.00, 729.00, 728.00, 736.00, 747.00, 763.00, 779.00, 789.00, 797.00, 797.00, 792.00, 782.00, 774.00, 773.00, 778.00, 782.00, 810.00, 811.00, 813.00, 793.00, 797.00, 805.00, 814.00, 820.00, 817.00, 812.00, 817.00, 822.00
"Abilene, TX",10180,170009,1br, 715.00, 718.00, 743.00, 760.00, 744.00, 740.00, 725.00, 720.00, 709.00, 727.00, 733.00, 725.00, 715.00, 700.00, 717.00, 704.00, 714.00, 712.00, 723.00, 724.00, 713.00, 714.00, 716.00, 727.00, 726.00, 734.00, 744.00, 760.00, 777.00, 787.00, 795.00, 795.00, 790.00, 780.00, 772.00, 771.00, 776.00, 780.00, 807.00, 809.00, 811.00, 790.00, 795.00, 803.00, 811.00, 817.00, 814.00, 810.00, 815.00, 820.00
"Abilene, TX",10180,170009,2br, 922.00, 926.00, 958.00, 980.00, 959.00, 954.00, 935.00, 929.00, 914.00, 938.00, 945.00, 935.00, 922.00, 903.00, 925.00, 907.00, 920.00, 918.00, 932.00, 933.00, 919.00, 921.00, 924.00, 937.00, 936.00, 946.00, 960.00, 980.00,1002.00,1014.00,1025.00,1025.00,1018.00,1006.00, 995.00, 994.00,1000.00,1005.00,1041.00,1043.00,1045.00,1019.00,1025.00,1035.00,1046.00,1054.00,1050.00,1044.00,1050.00,1057.00
"Abilene, TX",10180,170009,3br,1173.00,1177.00,1218.00,1246.00,1220.00,1214.00,1189.00,1181.00,1163.00,1193.00,1202.00,1189.00,1173.00,1148.00,1176.00,1154.00,1170.00,1168.00,1186.00,1187.00,1169.00,1172.00,1175.00,1192.00,1191.00,1203.00,1221.00,1247.00,1274.00,1290.00,1303.00,1303.00,1295.00,1279.00,1265.00,1264.00,1272.00,1279.00,1324.00,1327.00,1329.00,1296.00,1304.00,1317.00,1330.00,1340.00,1335.00,1328.00,1336.00,1344.00
"Abilene, TX",10180,170009,4br,1534.00,1540.00,1593.00,1630.00,1596.00,1588.00,1556.00,1545.00,1521.00,1561.00,1572.00,1555.00,1535.00,1502.00,1538.00,1510.00,1531.00,1527.00,1551.00,1553.00,1529.00,1533.00,1537.00,1560.00,1558.00,1574.00,1597.00,1631.00,1667.00,1688.00,1705.00,1705.00,1694.00,1673.00,1655.00,1653.00,1664.00,1673.00,1732.00,1736.00,1739.00,1696.00,1706.00,1722.00,1740.00,1753.00,1746.00,1737.00,1747.00,1759.00
"Abilene, TX",10180,170009,5br or More,1258.00,1263.00,1307.00,1337.00,1309.00,1302.00,1276.00,1267.00,1247.00,1280.00,1289.00,1276.00,1259.00,1232.00,1262.00,1238.00,1256.00,1253.00,1272.00,1274.00,1254.00,1257.00,1261.00,1279.00,1278.00,1291.00,1310.00,1338.00,1367.00,1384.00,1398.00,1398.00,1389.00,1372.00,1358.00,1356.00,1365.00,1372.00,1421.00,1423.00,1426.00,1391.00,1399.00,1413.00,1427.00,1438.00,1432.00,1425.00,1433.00,1442.00
"Akron, OH",10420,704454,_Overall, 735.00, 741.00, 737.00, 739.00, 753.00, 766.00, 771.00, 749.00, 730.00, 721.00, 713.00, 711.00, 705.00, 714.00, 724.00, 733.00, 749.00, 758.00, 772.00, 768.00, 758.00, 752.00, 743.00, 741.00, 732.00, 738.00, 745.00, 757.00, 767.00, 776.00, 781.00, 776.00, 774.00, 769.00, 766.00, 761.00, 765.00, 771.00, 777.00, 776.00, 779.00, 779.00, 783.00, 787.00, 789.00, 790.00, 787.00, 787.00, 788.00, 789.00
"Akron, OH",10420,704454,_Studio, 572.00, 577.00, 574.00, 576.00, 586.00, 597.00, 600.00, 583.00, 568.00, 562.00, 555.00, 554.00, 549.00, 556.00, 564.00, 571.00, 583.00, 590.00, 601.00, 598.00, 590.00, 585.00, 579.00, 577.00, 570.00, 575.00, 580.00, 590.00, 597.00, 604.00, 608.00, 604.00, 603.00, 599.00, 596.00, 593.00, 596.00, 600.00, 605.00, 604.00, 606.00, 607.00, 610.00, 613.00, 614.00, 615.00, 613.00, 613.00, 614.00, 615.00
"Akron, OH",10420,704454,1br, 560.00, 564.00, 561.00, 563.00, 573.00, 583.00, 587.00, 570.00, 556.00, 549.00, 542.00, 541.00, 537.00, 543.00, 551.00, 558.00, 570.00, 577.00, 588.00, 585.00, 577.00, 573.00, 566.00, 564.00, 558.00, 562.00, 567.00, 577.00, 584.00, 591.00, 594.00, 591.00, 589.00, 586.00, 583.00, 580.00, 582.00, 587.00, 592.00, 591.00, 593.00, 593.00, 596.00, 599.00, 601.00, 601.00, 599.00, 599.00, 600.00, 601.00
